SKU	Card Name	Player Name	Description	Sport	League	Team/Nation	Year	Set/Series	Card Number	Rarity Tier	Rarity Score	Quality Score	Condition	Grading Company	Grade	Serial Number	Autographed	Memorabilia	Rookie Card	Parallel/Variant	Price USD	Stock Count	Stock Status	Tags
TA-SOC-001	Elias Navarro Rising Star Rookie	Elias Navarro	Chrome rookie card with clean centering and bright surface gloss.	Soccer	International Club	Madrid Monarchs	2025	Aces Global Pitch	1	Rare	82	94	Near Mint	PSA	9	/499	No	No	Yes	Silver Prism	64.99	6	In Stock	rookie,chrome,soccer,forward
TA-SOC-002	Mateo Silva Match Winner	Mateo Silva	Goal celebration insert from a cup final-themed subset.	Soccer	International Club	Lisbon Lions	2024	Aces Global Pitch	2	Uncommon	61	88	Near Mint	SGC	8.5		No	No	No	Base Insert	18.50	11	In Stock	insert,soccer,midfielder
TA-SOC-003	Luca Benedetti Pitch Masters	Luca Benedetti	Premium midfield maestro card with textured foil background.	Soccer	International Club	Milan Vipers	2023	Elite Touch	3	Rare	78	91	Near Mint	BGS	9	/250	No	No	No	Blue Foil	49.00	3	In Stock	foil,soccer,playmaker
TA-SOC-004	Jamal Okafor Debut Season	Jamal Okafor	Rookie season card featuring a dynamic sprint image.	Soccer	International Club	Manchester Foundry	2025	Next XI	4	Common	48	86	Excellent	Raw		/999	No	No	Yes	Base	9.99	0	Out of Stock	rookie,soccer,winger
TA-SOC-005	Hiro Tanaka Captain's Choice	Hiro Tanaka	Veteran captain card with gold crest accent.	Soccer	J-League	Kyoto Waves	2022	Captains Collection	5	Uncommon	59	90	Near Mint	PSA	9		No	No	No	Gold Crest	22.00	8	In Stock	captain,soccer,veteran
TA-SOC-006	Diego Alvarez World Stage	Diego Alvarez	International tournament card with patriotic border design.	Soccer	National Team	Argentina	2024	World Stage	6	Rare	80	92	Near Mint	PSA	9	/299	No	No	No	Red Wave	58.75	4	In Stock	international,soccer,limited
TA-SOC-007	Nolan Price Clean Sheet	Nolan Price	Goalkeeper card highlighting a shutout performance.	Soccer	International Club	London Borough FC	2023	Defensive Standouts	7	Common	42	87	Excellent	Raw			No	No	No	Base	7.50	15	In Stock	goalkeeper,soccer,defense
TA-SOC-008	Aleks Petrov Free Kick Artist	Aleks Petrov	Specialist insert with rainbow foil on ball trail.	Soccer	International Club	Sofia United	2021	Set Piece Stars	8	Uncommon	66	85	Excellent	SGC	8	/399	No	No	No	Rainbow Foil	24.25	2	In Stock	free-kick,soccer,insert
TA-SOC-009	Rafael Costa Golden Boot Chase	Rafael Costa	High-scorer card from an award-watch subset.	Soccer	International Club	Rio Harbor	2024	Scoring Legends	9	Rare	84	93	Near Mint	BGS	9.5	/199	No	No	No	Gold Refractor	82.00	1	In Stock	scorer,soccer,refractor
TA-SOC-010	Samuel Mensah First XI	Samuel Mensah	First-team debut rookie with silver border.	Soccer	International Club	Accra Royals	2025	Next XI	10	Common	50	84	Excellent	Raw			No	No	Yes	Base	12.00	0	Out of Stock	rookie,soccer,defender
TA-SOC-011	Oscar Lindholm Northern Lights	Oscar Lindholm	Scandinavian star card with icy foil finish.	Soccer	National Team	Sweden	2022	Continental Shine	11	Rare	76	89	Near Mint	PSA	8	/150	No	No	No	Ice Foil	45.00	5	In Stock	soccer,foil,national
TA-SOC-012	Yusuf Demirci Derby Hero	Yusuf Demirci	Derby-day winner commemorative card.	Soccer	International Club	Istanbul Crescent	2023	Rivalry Nights	12	Uncommon	63	88	Near Mint	Raw		/500	No	No	No	Stadium Lights	19.99	7	In Stock	derby,soccer,insert
TA-SOC-013	Marco Klein Touchline Talents	Marco Klein	Prospect card focused on passing range and vision.	Soccer	International Club	Berlin Athletic	2024	Touchline Talents	13	Common	45	86	Excellent	Raw			No	No	No	Base	8.25	13	In Stock	prospect,soccer,midfielder
TA-SOC-014	Thiago Fernandes Signature Striker	Thiago Fernandes	Autographed striker card with authenticated signature.	Soccer	International Club	Porto Navigators	2022	Ink Legends	14	Legendary	95	96	Gem Mint	PSA	10	/50	Yes	No	No	Gold Ink	275.00	1	In Stock	auto,soccer,striker
TA-SOC-015	Emil Novak Academy Gem	Emil Novak	Low-numbered academy rookie parallel.	Soccer	International Club	Prague Knights	2025	Academy Gems	15	Very Rare	89	90	Near Mint	BGS	9	/99	No	No	Yes	Green Shimmer	96.00	0	Out of Stock	rookie,soccer,low-number
TA-SOC-016	Andre Mbaye Pace Merchant	Andre Mbaye	Winger card with speed rating spotlight.	Soccer	International Club	Paris Royale	2024	Speed Class	16	Uncommon	58	87	Near Mint	Raw			No	No	No	Base	16.75	10	In Stock	speed,soccer,winger
TA-SOC-017	Felix Aranda Champions Foil	Felix Aranda	Championship celebration card with confetti foil.	Soccer	International Club	Seville Suns	2023	Champions Foil	17	Rare	81	91	Near Mint	PSA	9	/225	No	No	No	Confetti	61.50	3	In Stock	champion,soccer,foil
TA-SOC-018	Kai Mori Rising Keeper	Kai Mori	Rookie goalkeeper card with clean white border.	Soccer	J-League	Osaka Orbit	2025	Next XI	18	Common	47	85	Excellent	Raw			No	No	Yes	Base	10.50	9	In Stock	rookie,soccer,goalkeeper
TA-BKB-001	Jaylen Cross Rookie Flight	Jaylen Cross	High-flying rookie card with silver court foil.	Basketball	Pro Basketball	Chicago Comets	2025	Above The Rim	19	Rare	83	94	Near Mint	PSA	9	/399	No	No	Yes	Silver	69.00	5	In Stock	rookie,basketball,dunk
TA-BKB-002	Marcus Bell Clutch Corner	Marcus Bell	Three-point specialist insert with corner-shot artwork.	Basketball	Pro Basketball	Atlanta Firebirds	2024	Shot Clock Heroes	20	Uncommon	64	89	Near Mint	SGC	8.5		No	No	No	Base Insert	21.25	12	In Stock	shooter,basketball,insert
TA-BKB-003	Andre Vaughn Paint Protector	Andre Vaughn	Defensive big man card with block highlight.	Basketball	Pro Basketball	Detroit Steel	2023	Defensive Five	21	Common	44	86	Excellent	Raw			No	No	No	Base	6.99	18	In Stock	defense,basketball,center
TA-BKB-004	Tyrese Coleman City Edition	Tyrese Coleman	Short-print city jersey parallel with bright pattern.	Basketball	Pro Basketball	Brooklyn Bridges	2024	City Edition	22	Very Rare	88	92	Near Mint	BGS	9	/99	No	No	No	City Parallel	110.00	2	In Stock	short-print,basketball,parallel
TA-BKB-005	Noah Reeves Rookie Autograph	Noah Reeves	On-card autograph from first-year guard.	Basketball	Pro Basketball	Phoenix Sol	2025	Rookie Ink	23	Legendary	96	95	Gem Mint	PSA	10	/75	Yes	No	Yes	Blue Ink	325.00	0	Out of Stock	auto,rookie,basketball
TA-BKB-006	Darius King Triple Double	Darius King	Stat-line insert celebrating all-around production.	Basketball	Pro Basketball	Dallas Range	2022	Box Score Kings	24	Rare	77	90	Near Mint	PSA	9	/299	No	No	No	Orange Laser	55.00	4	In Stock	triple-double,basketball
TA-BKB-007	Eli Brooks Sixth Man Spark	Eli Brooks	Bench scorer card from a fan-favorite subset.	Basketball	Pro Basketball	Miami Tide	2023	Spark Plugs	25	Common	41	84	Excellent	Raw			No	No	No	Base	5.50	20	In Stock	basketball,scorer,value
TA-BKB-008	Kamari Stone Future Floor General	Kamari Stone	Prospect guard card with holographic court lines.	Basketball	Pro Basketball	Seattle Emeralds	2025	Future Floor	26	Rare	79	91	Near Mint	SGC	9	/250	No	No	Yes	Holo Lines	62.00	7	In Stock	rookie,basketball,guard
TA-BKB-009	Luis Ortega Fast Break	Luis Ortega	Transition offense insert with motion blur styling.	Basketball	Pro Basketball	San Antonio Missions	2024	Fast Break	27	Uncommon	57	88	Near Mint	Raw		/499	No	No	No	Red Velocity	17.99	9	In Stock	basketball,fast-break,insert
TA-BKB-010	Brandon Hale Hardwood Icons	Brandon Hale	Veteran star card with woodgrain premium finish.	Basketball	Pro Basketball	Boston Shamrocks	2021	Hardwood Icons	28	Rare	82	90	Near Mint	PSA	9	/199	No	No	No	Woodgrain	74.50	3	In Stock	veteran,basketball,icons
TA-BKB-011	Malik Jordan Rising Franchise	Malik Jordan	Franchise cornerstone card from a modern stars set.	Basketball	Pro Basketball	Los Angeles Stars	2024	Franchise Faces	29	Rare	85	93	Near Mint	BGS	9.5	/149	No	No	No	Purple Pulse	92.00	1	In Stock	basketball,star,low-number
TA-BKB-012	Owen Park Rookie Base	Owen Park	Clean rookie base card with sharp corners.	Basketball	Pro Basketball	Toronto North	2025	Rookie Class	30	Common	49	87	Excellent	Raw			No	No	Yes	Base	11.25	0	Out of Stock	rookie,basketball,base
TA-BKB-013	Isaiah Monroe Glass Cleaner	Isaiah Monroe	Rebounding-focused card with cracked ice foil.	Basketball	Pro Basketball	Memphis Blues	2023	Board Men	31	Uncommon	62	89	Near Mint	PSA	8	/350	No	No	No	Cracked Ice	28.00	6	In Stock	rebound,basketball,foil
TA-BKB-014	Keon Rivers Spotlight Signatures	Keon Rivers	Sticker autograph with spotlight photo treatment.	Basketball	Pro Basketball	Orlando Orbit	2022	Spotlight Signatures	32	Very Rare	90	92	Near Mint	SGC	9	/99	Yes	No	No	Silver Auto	145.00	2	In Stock	auto,basketball,signature
